token_id,gender,background,background_type,body,body_type,body_style,body_color,face,face_type,face_style,face_color,hair,hair_type,hair_style,hair_color,type,type_type,type_color,repeated_color,image_original_url,metadata_original_url,color_group,color_count,badge1,badge2,badge3,badge4,badge5
26,Male,Cream,Cream,Short Sleeve Button Up Pink Jungle Pattern,Clothed,Short Sleeve Button Up,Pink Jungle Pattern,Heart Eyes,Expression,Heart Eyes,No Color,Dundee Hat Pink,Headgear,Dundee Hat,Pink,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/26.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/26,Pink Purple Mint,3,any_gvc,gradient_lover,,,
27,Female,Purple,Purple,Tshirt Yellow Psychedelic,Clothed,Tshirt,Yellow Psychedelic,80s Glasses Black,Glasses,80s Glasses,Black,Female Bob Cut Shiny Black,Hair,Female Bob Cut,Shiny Black,Plastic Yellow,Plastic,Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/27.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/27,Lime Yellow,2,any_gvc,plastic_lover,ladies_night,,
28,Male,Purple,Purple,Overalls Shirt Black,Clothed,Overalls Shirt,Black,Aviator Sunglasses Chrome,Glasses,Aviator Sunglasses,Chrome,Mohawk Pink,Hair,Mohawk,Pink,Gradient Cyan Blue Purple,Gradient,Cyan Blue Purple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/28.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/28,Blue Purple Pink,1,any_gvc,gradient_lover,,,
29,Male,Pink,Pink,Short Sleeve Button Up Space Purple,Clothed,Short Sleeve Button Up,Space Purple,Dead,Expression,Dead,No Color,Dundee Hat Purple,Headgear,Dundee Hat,Purple,Robot Lilac,Robot,Lilac,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/29.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/29,Lime Mint Purple,2,any_gvc,robot_lover,,,
30,Male,Mint,Mint,Henley Glass,Clothed,Henley,Glass,White Cubic Sunglasses,Glasses,Cubic Sunglasses,White,Comb Over Glass,Hair,Comb Over,Glass,Rainbow,Rainbow,Rainbow,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/30.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/30,Rainbow Glass,1,rainbow_citizen,any_gvc,,,
31,Male,Purple,Purple,Turtleneck Black Chrome,Clothed,Turtleneck,Black Chrome,80s Glasses Black,Glasses,80s Glasses,Black,Bowl Cut Lime,Hair,Bowl Cut,Lime,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/31.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/31,Lime Yellow,2,any_gvc,gradient_lover,necks_level,,
32,Male,Red,Red,Puffy Jacket White,Clothed,Puffy Jacket,White,Neutral,Expression,Neutral,No Color,White Headband White Headphones,Headgear,Headphones,White White,Robot Ice,Robot,Ice,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/32.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/32,Red Pink Mint,2,any_gvc,robot_lover,funky_fresh,,
33,Male,Mint,Mint,Leather Jacket Black,Clothed,Leather Jacket,Black,Happy,Expression,Happy,No Color,Middle Part Gold,Hair,Middle Part,Gold,Robot Red Candy Apple,Robot,Red Candy Apple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/33.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/33,Red Pink Mint,1,any_gvc,robot_lover,,,
34,Male,Gray,Gray,Short Sleeve Button Up Disco Ball Black,Clothed,Short Sleeve Button Up,Disco Ball Black,Gold Vibe Hand,Special,Vibe Hand,Gold,Mullet Shiny Black,Hair,Mullet,Shiny Black,Grayscale,Grayscale,Grayscale,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/34.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/34,Grayscale,2,grayscale_seeker,any_gvc,no_face_no_problem,party_in_the_back,
35,Male,Red,Red,Hoodie Rainbow,Clothed,Hoodie,Rainbow,Wink,Expression,Wink,No Color,Top Messy Black,Hair,Top Messy,Black,Gradient Yellow Yellow,Gradient,Yellow Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/35.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/35,Warms,1,any_gvc,gradient_lover,,,
36,Female,Cream,Cream,Puffy Jacket Purple,Clothed,Puffy Jacket,Purple,Robo Visor GVC,Glasses,Robo Visor,GVC,Female Bun Gold,Hair,Female Bun,Gold,Robot Lilac,Robot,Lilac,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/36.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/36,Lime Mint Purple,1,any_gvc,robot_lover,ladies_night,,
37,Male,Blue,Blue,Hooded Jacket Mint,Clothed,Hooded Jacket,Mint,Robo Visor Dot Eyes,Glasses,Robo Visor,Dot Eyes,Comb Over Purple,Hair,Comb Over,Purple,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/37.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/37,Pink Purple Mint,1,any_gvc,gradient_lover,,,
38,Male,Blue,Blue,Letterman Jacket Light Blue,Clothed,Letterman Jacket,Light Blue,Gold Cubic Sunglasses,Glasses,Cubic Sunglasses,Gold,Classic Gold,Hair,Classic,Gold,Robot Cobalt,Robot,Cobalt,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/38.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/38,Red Blue Purple,3,any_gvc,robot_lover,varsity_vibes,,
39,Male,Purple,Purple,Overalls Shirt Purple Purple,Clothed,Overalls Shirt,Purple Purple,Rainbow Visor,Glasses,Rainbow Visor,Rainbow Visor,Comb Over Shiny Black,Hair,Comb Over,Shiny Black,Plastic Pink,Plastic,Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/39.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/39,Pink Purple Mint,2,any_gvc,plastic_lover,rainbow_visor,,
40,Male,Yellow,Yellow,Retro Windbreaker Glass,Clothed,Retro Windbreaker,Glass,White Cubic Sunglasses,Glasses,Cubic Sunglasses,White,Short Glass,Hair,Short,Glass,Rainbow,Rainbow,Rainbow,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/40.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/40,Rainbow Glass,1,rainbow_citizen,any_gvc,,,
41,Male,Blue,Blue,Turtleneck White Chrome,Clothed,Turtleneck,White Chrome,80s Glasses Rainbow,Glasses,80s Glasses,Rainbow,Mullet Blue,Hair,Mullet,Blue,Gradient Cyan Blue Purple,Gradient,Cyan Blue Purple,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/41.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/41,Blue Purple Pink,2,any_gvc,gradient_lover,necks_level,party_in_the_back,
42,Male,Cream,Cream,Retro Windbreaker Mint,Clothed,Retro Windbreaker,Mint,Bubble Goggles,Glasses,Bubble Goggles,Bubble Goggles,Classic Chrome,Hair,Classic,Chrome,Robot Lilac,Robot,Lilac,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/42.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/42,Lime Mint Purple,1,any_gvc,robot_lover,rainbow_bubble_goggles,,
43,Female,Mint,Mint,Hooded Jacket White,Clothed,Hooded Jacket,White,80s Glasses Candy Lime,Glasses,80s Glasses,Candy Lime,Female Bun Shiny Yellow,Hair,Female Bun,Shiny Yellow,Plastic Yellow,Plastic,Yellow,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/43.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/43,Lime Yellow,2,any_gvc,plastic_lover,ladies_night,,
44,Male,Blue,Blue,Puffy Jacket Cream,Clothed,Puffy Jacket,Cream,Puppy Happy,Expression,Puppy Happy,No Color,Comb Over Black,Hair,Comb Over,Black,Gradient Yellow Orange,Gradient,Yellow Orange,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/44.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/44,Warms,1,any_gvc,gradient_lover,,,
45,Male,Pink,Pink,Suit White,Clothed,Suit,White,Robo Visor Dot Eyes,Glasses,Robo Visor,Dot Eyes,Top Messy Gold,Hair,Top Messy,Gold,Robot Lilac,Robot,Lilac,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/45.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/45,Blue Purple Pink,1,any_gvc,robot_lover,suited_up,,
46,Male,Mint,Mint,Short Sleeve Button Up Red Pepper Pattern,Clothed,Short Sleeve Button Up,Red Pepper Pattern,Dead,Expression,Dead,No Color,Red Headband White Headphones,Headgear,Headphones,Red White,Robot Red Candy Apple,Robot,Red Candy Apple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/46.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/46,Red Pink Mint,2,any_gvc,robot_lover,gud_meat,funky_fresh,
47,Male,Mint,Mint,Puffy Vest Blue,Clothed,Puffy Vest,Blue,Poker Face,Glasses,Poker Face,Poker Face,Bowl Cut Purple,Hair,Bowl Cut,Purple,Gradient Dark Blue Light Blue,Gradient,Dark Blue Light Blue,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/47.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/47,Blue Purple Pink,2,any_gvc,gradient_lover,poker_face,,
48,Male,Gray,Gray,Suit White,Clothed,Suit,White,Bubble Goggles,Glasses,Bubble Goggles,Bubble Goggles,Manbun Shiny Black,Hair,Manbun,Shiny Black,Grayscale,Grayscale,Grayscale,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/48.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/48,Grayscale,1,grayscale_seeker,any_gvc,rainbow_bubble_goggles,suited_up,
49,Male,Cream,Cream,Letterman Jacket Purple,Clothed,Letterman Jacket,Purple,Lined Glasses White,Glasses,Lined Glasses,White,Short Blue,Hair,Short,Blue,Gradient Pink Pink,Gradient,Pink Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/49.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/49,Blue Purple Pink,1,any_gvc,gradient_lover,varsity_vibes,,
50,Male,Mint,Mint,Driving Jacket White,Clothed,Driving Jacket,White,Circle Glasses Red Black,Glasses,Circle Glasses,Red Black,Top Messy Shiny Red,Hair,Top Messy,Shiny Red,Plastic Pink,Plastic,Pink,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/50.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/50,Red Pink Mint,1,any_gvc,plastic_lover,,,
51,Male,Pink,Pink,Short Sleeve Button Up Red Pepper Pattern,Clothed,Short Sleeve Button Up,Red Pepper Pattern,Gold Cubic Sunglasses,Glasses,Cubic Sunglasses,Gold,Mullet Gold,Hair,Mullet,Gold,Robot Pink,Robot,Pink,2,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/51.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/51,Red Pink Mint,2,any_gvc,robot_lover,gud_meat,party_in_the_back,
52,Male,Yellow,Yellow,Puffy Vest White,Clothed,Puffy Vest,White,Circle Glasses Gold,Glasses,Circle Glasses,Gold,Flat Top Black,Hair,Flat Top,Black,Gradient Yellow Orange,Gradient,Yellow Orange,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/52.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/52,Warms,1,any_gvc,gradient_lover,,,
53,Male,Pink,Pink,Short Sleeve Button Up Lucky Pattern Mint,Clothed,Short Sleeve Button Up,Lucky Pattern Mint,Robo Visor GVC,Glasses,Robo Visor,GVC,Afro Shiny Purple,Hair,Afro,Shiny Purple,Plastic Purple,Plastic,Purple,1,ipfs://QmY6JpwTYx6zZHgfJb3gPJRh1U897NX4RudtK5jhJ3sNDS/53.jpg,ipfs://QmczTDgYkd5BXb4cKGo7Qo696vwUMEJG1hSUtY845eDvgh/53,Pink Purple Mint,2,any_gvc,plastic_lover,,,
